price,Empfohlenes Alter in Jahren (mind.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Ursprungsland_ Ungarn ,Ursprungsland_ China ,Ursprungsland_ Tschechische Republik ,LegoCategory_Rare,LegoCategory_LEGO City ,LegoCategory_LEGO Duplo ,LegoCategory_LEGO Star Wars ,LegoCategory_LEGO Super Mario ,LegoCategory_LEGO Friends 
24.95,1.5,80.0,262.0,282.0,118.0,1,0,0,1,0,0,0,0,0
11.95,4.0,58.0,141.0,157.0,45.0,0,1,0,1,0,0,0,0,0
11.95,6.0,72.0,195.0,210.0,45.0,0,0,1,1,0,0,0,0,0
39.95,8.0,392.0,191.0,354.0,70.0,0,0,1,1,0,0,0,0,0
229.0,18.0,2354.0,480.0,582.0,91.0,0,0,1,1,0,0,0,0,0
109.0,18.0,1222.0,382.0,262.0,94.0,0,0,1,1,0,0,0,0,0
11.95,6.0,113.0,141.0,191.0,46.0,0,0,1,1,0,0,0,0,0
329.0,18.0,3955.0,480.0,582.0,170.0,0,0,1,1,0,0,0,0,0
119.0,18.0,807.0,262.0,382.0,70.5,0,0,1,0,0,0,1,0,0
54.95,1.5,43.0,180.0,370.0,180.0,1,0,0,0,0,1,0,0,0
24.95,1.5,19.0,191.0,354.0,91.0,1,0,0,0,0,1,0,0,0
99.0,6.0,688.0,354.0,378.0,94.0,1,0,0,0,1,0,0,0,0
11.95,7.0,145.0,141.0,191.0,46.0,0,0,1,1,0,0,0,0,0
11.95,6.0,144.0,141.0,191.0,46.0,0,0,1,1,0,0,0,0,0
54.95,4.0,161.0,262.0,282.0,59.0,0,1,0,1,0,0,0,0,0
26.95,7.0,247.0,141.0,262.0,91.0,0,1,0,1,0,0,0,0,0
4.95,8.0,78.0,262.0,317.0,70.5,0,0,1,1,0,0,0,0,0
24.95,5.0,20.0,262.0,317.0,70.5,0,0,1,0,1,0,0,0,0
179.0,9.0,1022.0,378.0,582.0,87.0,0,0,1,0,0,0,1,0,0
24.95,4.0,213.0,262.0,285.0,64.0,0,0,1,1,0,0,0,0,0
59.95,7.0,348.0,262.0,317.0,70.5,0,0,1,0,0,0,1,0,0
59.95,23.0,649.0,191.0,262.0,72.0,0,0,1,1,0,0,0,0,0
11.95,2.0,5.0,141.0,157.0,61.0,0,1,0,0,0,1,0,0,0
59.95,8.0,490.0,222.0,262.0,124.0,0,0,1,1,0,0,0,0,0
54.95,2.0,75.0,282.0,540.0,91.0,1,0,0,0,0,1,0,0,0
11.95,2.0,10.0,141.0,191.0,91.0,0,0,1,0,0,1,0,0,0
11.95,4.0,48.0,141.0,191.0,46.0,1,0,0,1,0,0,0,0,0
74.95,6.0,706.0,282.0,540.0,78.5,0,0,1,0,1,0,0,0,0
99.0,9.0,980.0,282.0,540.0,78.5,1,0,0,0,0,0,0,0,1
54.95,8.0,349.0,282.0,262.0,59.0,0,1,0,1,0,0,0,0,0
26.95,7.0,348.0,262.0,317.0,70.5,0,0,1,1,0,0,0,0,0
24.95,5.0,112.0,191.0,262.0,61.0,0,0,1,0,1,0,0,0,0
24.95,5.0,200.0,191.0,262.0,61.0,0,0,1,0,1,0,0,0,0
11.95,4.0,64.0,141.0,157.0,61.0,0,0,1,1,0,0,0,0,0
46.95,4.0,149.0,222.0,262.0,76.0,1,0,0,1,0,0,0,0,0
69.95,5.0,1000.0,282.0,480.0,91.0,1,0,0,1,0,0,0,0,0
24.95,2.0,23.0,262.0,282.0,95.5,0,0,1,0,0,1,0,0,0
54.95,6.0,462.0,282.0,480.0,61.0,1,0,0,0,1,0,0,0,0
59.95,7.0,254.0,262.0,282.0,59.0,0,1,0,1,0,0,0,0,0
46.95,8.0,357.0,222.0,262.0,76.0,0,0,1,1,0,0,0,0,0
89.95,8.0,605.0,282.0,480.0,61.0,1,0,0,1,0,0,0,0,0
24.95,2.0,16.0,262.0,282.0,76.0,1,0,0,0,0,1,0,0,0
54.95,2.0,37.0,262.0,382.0,94.0,0,1,0,1,0,0,0,0,0
209.0,18.0,2099.0,582.0,378.0,118.0,1,0,0,1,0,0,0,0,0
